Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
1,0,0,1000,0,-35,0,0,0,0,0,0,0,-10,0,10,0,0,0,0,0,0,0,100,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,-10,0,0,50,0,0,0,0,0,0,10,-30,10,0,0,0,0,0,0,30,0,0,35,0,-1000,0,0,0
2,-1000,0,0,0,0,-50,1000,0,0,0,0,0,0,0,-10,0,0,0,0,0,10,0,0,0,0,0,0,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,-30,-10,0,0,0,35,-100,0,30,50,0,0,1,-65.42
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,-1000,10,0,0,1000,-10,0,0,0,0,0,-35,0,50,0,-100,0,0,0,0,0,0,0,-50,0,0,0,0,30,-10,0,0,0,-30,0,100,0,0,0,35,0,0,0,0,0,0,1,18.55
4,0,0,0,0,0,0,-35,0,0,1000,100,-10,0,0,0,0,0,0,-50,0,-100,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,10,0,30,0,0,0,0,0,0,0,0,-1000,10,10,0,0,0,0,0,0,0,0,0,0,-30,35,0,1,-17.12
5,0,0,-50,0,-35,0,0,0,-10,50,0,30,0,0,0,0,1000,0,0,0,0,0,0,0,0,-30,0,10,-10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,100,0,0,0,35,0,0,-1000,0,0,0,0,0,0,0,0,0,-24.17
6,0,0,0,0,-30,0,0,0,30,-50,0,-10,0,0,0,0,50,0,0,0,35,0,-10,0,0,-35,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,100,0,0,-15.61
7,0,0,0,0,0,1000,0,-35,-10,0,0,0,100,0,0,0,0,-1000,0,0,0,0,0,0,10,0,10,0,0,-10,0,0,0,0,0,0,0,0,30,0,35,0,0,0,0,0,0,10,0,0,0,-100,0,0,0,-30,0,0,0,-50,0,0,0,0,0,8.45
8,0,-100,0,0,0,30,-30,0,0,0,35,0,0,0,0,0,-10,-1000,0,10,0,0,10,0,0,0,-35,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,100,0,0,-24.42
9,100,-100,0,0,0,-35,0,0,0,0,0,50,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,-10,-10,-30,0,0,0,0,10,1000,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,10,-1000,0,0,0,0,0,0,0,0,1,-8.63
10,0,0,0,0,-1000,0,0,0,0,0,-10,0,0,0,35,0,100,0,0,0,0,0,0,0,0,50,-100,0,10,0,0,0,0,-50,0,-30,0,0,0,0,0,-35,0,10,0,0,0,-10,0,0,0,0,0,10,0,0,0,0,0,0,0,1000,0,0,1,63.24
